Zip,Number_of_returns_Total_Individual,Amount_Total_Individual,Number_of_returns_Business,Amount_Business,,,,,,,,
43001,1290,77967000,230,2372000,,,,,,,,
43003,1360,61474000,210,1694000,,,,,,,,
43004,12350,953026000,1990,32987000,,,,,,,,
43006,290,9062000,70,849000,,,,,,,,
43009,910,48223000,140,661000,,,,,,,,
43011,3430,187944000,600,6071000,,,,,,,,
43013,540,28749000,100,955000,,,,,,,,
43014,1490,60577000,370,4375000,,,,,,,,
43015,23700,1639422000,3730,53109000,,,,,,,,
43016,19030,1784511000,2780,55278000,,,,,,,,
43017,19360,2314354000,3500,99501000,,,,,,,,
43019,4060,209527000,850,10818000,,,,,,,,
43021,5350,650130000,1020,23879000,,,,,,,,
43022,1170,77990000,280,3890000,,,,,,,,
43023,5660,587187000,1110,24549000,,,,,,,,
43025,2720,169650000,410,4782000,,,,,,,,
43026,29030,1933238000,4120,55338000,,,,,,,,
43028,3400,177902000,640,5694000,,,,,,,,
43029,240,12167000,40,223000,,,,,,,,
43031,6200,359155000,980,11211000,,,,,,,,
43035,12020,1096748000,1970,39346000,,,,,,,,
43037,180,5902000,30,370000,,,,,,,,
43040,14540,868972000,1870,19308000,,,,,,,,
43044,2440,120888000,330,2498000,,,,,,,,
43045,920,57355000,120,1779000,,,,,,,,
43046,1610,90629000,290,4168000,,,,,,,,
43050,13160,601531000,1930,24272000,,,,,,,,
43054,11250,1960212000,2030,64578000,,,,,,,,
43055,27800,1207037000,3430,32928000,,,,,,,,
43056,8430,408925000,1030,9425000,,,,,,,,
43060,1170,54116000,110,788000,,,,,,,,
43061,2000,141090000,390,4855000,,,,,,,,
43062,13680,805869000,2070,22260000,,,,,,,,
43064,6050,445452000,1140,16786000,,,,,,,,
43065,19310,2319096000,3560,101468000,,,,,,,,
43066,610,36716000,80,552000,,,,,,,,
43067,760,41015000,110,841000,,,,,,,,
43068,27060,1225820000,3500,29452000,,,,,,,,
43071,1090,49870000,190,1293000,,,,,,,,
43072,2680,125234000,380,3015000,,,,,,,,
43074,6060,411988000,1150,13977000,,,,,,,,
43076,4200,229043000,650,7364000,,,,,,,,
43078,9570,435322000,1150,9954000,,,,,,,,
43080,2410,112488000,430,4123000,,,,,,,,
43081,30730,1889814000,4590,56194000,,,,,,,,
43082,15020,1756361000,2650,60261000,,,,,,,,
43084,370,20607000,40,332000,,,,,,,,
43085,12840,1014248000,2150,39964000,,,,,,,,
43102,2040,108966000,290,2552000,,,,,,,,
43103,5130,271219000,650,6223000,,,,,,,,
43105,3990,231012000,660,5903000,,,,,,,,
43106,740,29950000,90,500000,,,,,,,,
43107,1460,66653000,230,2109000,,,,,,,,
43110,17290,919167000,2400,23346000,,,,,,,,
43112,2340,148899000,360,3383000,,,,,,,,
43113,10590,517229000,1410,14061000,,,,,,,,
43115,560,25501000,60,305000,,,,,,,,
43116,770,49271000,130,884000,,,,,,,,
43119,13920,694752000,1940,18632000,,,,,,,,
43123,30950,1672076000,4020,44334000,,,,,,,,
43125,6670,307923000,840,7172000,,,,,,,,
