Zip,businesses,total sales,average sales,total cashed,average cash,cashed rate,lat,lon
44017,,"$3,761,756.00 ","$179,131.24 ","$1,926,332.50 ","$91,730.12 ",51.20%,41.36706,-81.86707
44022,,"$274,498.00 ","$91,499.33 ","$113,025.50 ","$37,675.17 ",41.20%,41.45133,-81.3933
44040,,"$165,038.00 ","$165,038.00 ","$54,331.50 ","$54,331.50 ",32.90%,41.53421,-81.4155
44070,,"$6,192,729.00 ","$199,765.45 ","$3,180,700.00 ","$102,603.23 ",51.40%,41.41615,-81.92202
44102,,"$6,140,577.50 ","$97,469.48 ","$3,029,207.00 ","$48,082.65 ",49.30%,41.47601,-81.7388
44103,34,"$7,690,160.00 ","$226,181.18 ","$3,351,225.00 ","$98,565.44 ",43.60%,41.52212,-81.64442
44104,24,"$3,991,963.00 ","$166,331.79 ","$1,685,649.50 ","$70,235.40 ",42.20%,41.48047,-81.63099
44105,46,"$8,759,653.00 ","$190,427.24 ","$4,007,239.00 ","$87,113.89 ",45.70%,41.44953,-81.63338
44106,22,"$4,162,664.00 ","$189,212.00 ","$1,495,756.50 ","$67,988.93 ",35.90%,41.5067,-81.60535
44107,51,"$6,719,000.50 ","$131,745.11 ","$3,590,139.00 ","$70,394.88 ",53.40%,41.48254,-81.80352
44108,27,"$4,980,246.50 ","$184,453.57 ","$2,015,054.50 ","$74,631.65 ",40.50%,41.54536,-81.60805
44109,60,"$7,668,407.50 ","$127,806.79 ","$3,755,449.50 ","$62,590.83 ",49.00%,41.44465,-81.69578
44110,21,"$4,900,099.50 ","$233,338.07 ","$2,170,159.00 ","$103,340.90 ",44.30%,41.56515,-81.56503
44111,63,"$9,634,417.00 ","$152,927.25 ","$5,136,993.50 ","$81,539.58 ",53.30%,41.45985,-81.79478
44112,29,"$6,242,918.50 ","$215,273.05 ","$2,637,972.00 ","$90,964.55 ",42.30%,41.53825,-81.5731
44113,25,"$4,887,450.00 ","$195,498.00 ","$2,348,168.50 ","$93,926.74 ",48.00%,41.4858,-81.69441
44114,27,"$3,538,252.50 ","$131,046.39 ","$1,698,118.00 ","$62,893.26 ",48.00%,41.51766,-81.67519
44115,20,"$1,883,383.50 ","$94,169.18 ","$764,867.00 ","$38,243.35 ",40.60%,41.48759,-81.67769
44116,16,"$2,265,245.50 ","$141,577.84 ","$1,197,242.50 ","$74,827.66 ",52.90%,41.46999,-81.84886
44117,8,"$1,877,329.00 ","$234,666.13 ","$948,691.50 ","$118,586.44 ",50.50%,41.56996,-81.5265
44118,16,"$3,601,976.00 ","$225,123.50 ","$1,480,683.50 ","$92,542.72 ",41.10%,41.50439,-81.55413
44119,21,"$4,254,538.50 ","$202,597.07 ","$1,896,718.00 ","$90,319.90 ",44.60%,41.58652,-81.54587
44120,30,"$8,554,981.00 ","$285,166.03 ","$3,498,321.50 ","$116,610.72 ",40.90%,41.47368,-81.5765
44121,21,"$5,930,731.50 ","$282,415.79 ","$2,752,144.50 ","$131,054.50 ",46.40%,41.52754,-81.53241
44122,13,"$2,969,198.00 ","$228,399.85 ","$1,134,695.50 ","$87,284.27 ",38.20%,41.47952,-81.5119
44123,16,"$2,848,552.00 ","$178,034.50 ","$1,345,287.00 ","$84,080.44 ",47.20%,41.60364,-81.52611
44124,23,"$4,436,781.50 ","$192,903.54 ","$2,180,128.50 ","$94,788.20 ",49.10%,41.49679,-81.47174
44125,28,"$6,154,178.00 ","$219,792.07 ","$3,159,770.00 ","$112,848.93 ",51.30%,41.39941,-81.633
44126,15,"$2,478,103.00 ","$165,206.87 ","$1,301,369.00 ","$86,757.93 ",52.50%,41.44105,-81.8483
44127,12,"$1,158,761.00 ","$96,563.42 ","$514,781.00 ","$42,898.42 ",44.40%,41.47386,-81.64734
44128,35,"$10,529,904.00 ","$300,854.40 ","$4,755,340.50 ","$135,866.87 ",45.20%,41.43773,-81.53575
44129,30,"$5,755,941.50 ","$191,864.72 ","$2,968,154.00 ","$98,938.47 ",51.60%,41.38689,-81.7352
44130,64,"$13,668,184.00 ","$213,565.38 ","$7,075,145.50 ","$110,549.15 ",51.80%,41.38453,-81.79471
44131,16,"$3,768,093.50 ","$235,505.84 ","$1,836,804.50 ","$114,800.28 ",48.70%,41.39167,-81.64142
44132,10,"$2,517,001.50 ","$251,700.15 ","$1,113,647.50 ","$111,364.75 ",44.20%,41.60823,-81.50097
44133,26,"$4,172,462.00 ","$160,479.31 ","$2,227,358.50 ","$85,667.63 ",53.40%,41.31463,-81.7435
44134,56,"$10,609,156.50 ","$189,449.22 ","$5,813,117.50 ","$103,805.67 ",54.80%,41.38583,-81.7099
44135,34,"$5,604,754.00 ","$164,845.71 ","$2,782,156.00 ","$81,828.12 ",49.60%,41.42386,-81.8168
44136,22,"$3,437,865.50 ","$156,266.61 ","$1,679,833.50 ","$76,356.07 ",48.90%,41.31316,-81.81109
