Business Name,Address,City,Zip,Instant Sales,Online Sales,Total
SMITH & SNOW SHELL,5918 SMITH RD,BROOK PARK,44142,"$1,530,031.00","$1,026,263.00","$2,556,294.00"
QUICK SHOP FOOD MART,4263 MONTICELLO BLVD,SOUTH EUCLID,44121,"$391,620.00","$1,063,452.50","$1,455,072.50"
EMERY CONVENIENT FOOD MART,21925 EMERY RD,WARRENSVILLE HEIGHTS,44128,"$417,740.00","$956,635.00","$1,374,375.00"
CONVENIENT FOOD MART #3058,23555 LORAIN RD,NORTH OLMSTED,44070,"$745,400.00","$541,301.00","$1,286,701.00"
CONVENIENT FOOD MART #3-103,5250 WARRENSVILLE CENTER RD,MAPLE HEIGHTS,44137,"$475,369.00","$740,109.00","$1,215,478.00"
D & M CONVENIENCE FOOD MART,33630 AURORA RD,SOLON,44139,"$530,022.00","$682,336.50","$1,212,358.50"
DUNHAM BEVERAGE,6191 DUNHAM AVE,MAPLE HEIGHTS,44137,"$363,073.00","$606,315.00","$969,388.00"
LUCKYS BEVERAGE & DELI,5228 BROADVIEW RD,PARMA,44134,"$534,526.00","$424,166.00","$958,692.00"
EAST 55TH ST CLAIR SHELL,5505 ST CLAIR AVE,CLEVELAND,44103,"$389,098.00","$533,397.50","$922,495.50"
WILSON MILLS 271 MARATHON,6295 WILSON MILLS RD,HIGHLAND HEIGHTS,44143,"$567,400.00","$331,988.50","$899,388.50"
BEST STEAK AND GYRO HOUSE,13620 EUCLID AVE,EAST CLEVELAND,44112,"$297,400.00","$601,971.50","$899,371.50"
THE STORE,7095 BROADVIEW RD,SEVEN HILLS,44131,"$538,470.00","$350,736.00","$889,206.00"
HIGHLAND FOOD MART,25989 HIGHLAND RD,RICHMOND HEIGHTS,44143,"$292,300.00","$592,331.50","$884,631.50"
AUDREY'S DELI,6347 STATE RD,PARMA,44134,"$457,091.00","$398,074.50","$855,165.50"
CONVENIENT FOOD MART #3-115,22299 EUCLID AVE,EUCLID,44117,"$296,440.00","$554,985.00","$851,425.00"
EMERY FOOD MART,25850 EMERY RD,WARRENSVILLE HEIGHTS,44128,"$284,850.00","$550,744.50","$835,594.50"
SHELIGA DRUG INC,6025 ST CLAIR AVE,CLEVELAND,44103,"$254,230.00","$579,315.50","$833,545.50"
J & M FOOD MARKET,1976 WARRENSVILLE CENTER RD,SOUTH EUCLID,44121,"$240,818.00","$585,757.00","$826,575.00"
CONVENIENT FOOD MART,6610 SMITH RD,MIDDLEBURG HEIGHTS,44130,"$540,050.00","$278,061.50","$818,111.50"
FOOD PLUS,3895 LEE RD,CLEVELAND,44128,"$186,291.00","$630,210.50","$816,501.50"
LOTTERY STOP,230 HURON RD SW STE 72-76,CLEVELAND,44113,"$328,200.00","$474,485.00","$802,685.00"
PLAZA SERVERY INC II,1240 E 9TH ST,CLEVELAND,44199,"$397,700.00","$350,873.50","$748,573.50"
LE MONDE SUNOCO SERV STATION,3569 LEE RD,CLEVELAND,44120,"$118,740.00","$629,386.00","$748,126.00"
MIKE'S CONVENIENT FOOD MART,1929 S TAYLOR RD,CLEVELAND HEIGHTS,44118,"$222,579.00","$517,965.00","$740,544.00"
FRIENDLY FOOD MART,26159 CHARDON RD,RICHMOND HEIGHTS,44143,"$201,944.00","$537,873.50","$739,817.50"
GIANT EAGLE #440,4401 MAYFIELD RD,SOUTH EUCLID,44121,"$409,056.00","$326,814.50","$735,870.50"
GATEWAY NEWSTANDS,230 W HURON AVE,CLEVELAND,44113,"$292,926.00","$438,730.50","$731,656.50"
CONVENIENT FOOD MART #3030,788 E 200 ST,CLEVELAND,44119,"$298,759.00","$429,795.50","$728,554.50"
SHOP EXPRESS,3965 WARRENSVILLE CENTER RD,WARRENSVILLE HEIGHTS,44122,"$166,702.00","$543,759.00","$710,461.00"
CONVENIENT FOOD MART,15521 ST CLAIR AVE,CLEVELAND,44110,"$212,036.00","$494,047.50","$706,083.50"
PARMA HTS BEVERAGE & DELI,6660 PEARL RD,PARMA HEIGHTS,44130,"$421,195.00","$284,728.50","$705,923.50"
GREEN ROAD BEVERAGE,4605 GREEN RD,WARRENSVILLE HEIGHTS,44128,"$244,601.00","$458,930.00","$703,531.00"
YORKTOWN SERVICE PLAZA,6177 PEARL RD,PARMA HEIGHTS,44130,"$417,300.00","$282,157.00","$699,457.00"
BUCKEYE SUNOCO,13009 BUCKEYE AVE,CLEVELAND,44120,"$140,034.00","$547,756.50","$687,790.50"
CONVENIENT FOOD MART #3-109,7112 BRECKSVILLE RD,INDEPENDENCE,44131,"$408,395.00","$263,875.00","$672,270.00"
CHAGRIN WINE & BEVERAGE,16814 CHAGRIN BLVD,SHAKER HEIGHTS,44120,"$162,822.00","$508,542.50","$671,364.50"
9 LEAFS ,361 S GREEN RD,SOUTH EUCLID,44121,"$172,712.00","$491,762.00","$664,474.00"
ADAM DAIRY & DELI,3868 E 131ST ST,CLEVELAND,44120,"$146,260.00","$512,720.00","$658,980.00"
BOULEVARD CONVENIENT,8808 GARFIELD BLVD,GARFIELD HEIGHTS,44125,"$371,249.00","$279,511.50","$650,760.50"
GIANT EAGLE #6376,6300 BIDDULPH RD,BROOKLYN,44144,"$385,550.00","$263,765.50","$649,315.50"
TURNEY TOWN BEVERAGE,4928 TURNEY RD,GARFIELD HEIGHTS,44125,"$311,020.00","$321,921.00","$632,941.00"
INDIAN HILLS SUNOCO,19365 EUCLID AVE,EUCLID,44117,"$194,150.00","$438,663.50","$632,813.50"
HARVARD GAS USA,7020 HARVARD AVE,CLEVELAND,44105,"$290,800.00","$341,726.00","$632,526.00"
DELI MART ,5346 BROADVIEW RD ,PARMA,44134,"$312,350.00","$311,155.50","$623,505.50"
GAS USA,4561 E 131ST ST,GARFIELD HEIGHTS,44105,"$161,990.00","$453,178.00","$615,168.00"
TURNEY SUNOCO,6009 TURNEY RD,GARFIELD HEIGHTS,44125,"$333,605.00","$277,974.50","$611,579.50"
EZ MART FOOD STORE #1,4163 ROCKY RIVER DR,CLEVELAND,44135,"$387,608.00","$220,929.00","$608,537.00"
CONVENIENT FOOD MART,14302 PURITAS AVE,CLEVELAND,44135,"$290,895.00","$292,635.00","$583,530.00"
LUCY'S DAIRY AND MART,5822 STUMPH RD,PARMA,44130,"$361,642.00","$221,212.50","$582,854.50"
ZAGARA'S MARKET PLACE,1940 LEE RD,CLEVELAND HEIGHTS,44118,"$161,510.00","$418,968.00","$580,478.00"
NEWBURGH MARATHON,4723 HARVARD AVE,NEWBURGH HEIGHTS,44105,"$226,850.00","$352,669.00","$579,519.00"
GIANT EAGLE #6359,27264 LORAIN RD,NORTH OLMSTED,44070,"$370,276.00","$204,124.00","$574,400.00"
BEREA SUNOCO,640 PROSPECT RD,BEREA,44017,"$205,800.00","$366,674.00","$572,474.00"
