 Business_Name ,Address,City,Zip,Instant_Sales,Online_Sales,Total,total income,avg income
SMITH & SNOW SHELL,5918 SMITH RD,BROOK PARK,44142,1530031,1026263,2556294,472636000,"51,429.38"
QUICK SHOP FOOD MART,4263 MONTICELLO BLVD,SOUTH EUCLID,44121,391620,1063452.5,1455072.5,1748883000,"198,061.49"
EMERY CONVENIENT FOOD MART,21925 EMERY RD,WARRENSVILLE HEIGHTS,44128,417740,956635,1374375,420328000,"247,251.76"
CONVENIENT FOOD MART #3058,23555 LORAIN RD,NORTH OLMSTED,44070,745400,541301,1286701,906978000,"51,856.95"
CONVENIENT FOOD MART #30103,5250 WARRENSVILLE CENTER RD,MAPLE HEIGHTS,44137,475369,740109,1215478,533650000,"31,008.13"
D & M CONVENIENCE FOOD MART,33630 AURORA RD,SOLON,44139,530022,682336.5,1212358.5,153913000,"24,824.68"
DUNHAM BEVERAGE,6191 DUNHAM AVE,MAPLE HEIGHTS,44137,363073,606315,969388,153786000,"19,972.21"
LUCKYS BEVERAGE & DELI,5228 BROADVIEW RD,PARMA,44134,534526,424166,958692,408957000,"25,688.25"
EAST 55TH ST CLAIR SHELL,5505 ST CLAIR AVE,CLEVELAND,44103,389098,533397.5,922495.5,578940000,"64,903.59"
WILSON MILLS 271 MARATHON,6295 WILSON MILLS RD,HIGHLAND HEIGHTS,44143,567400,331988.5,899388.5,1383539000,"49,857.26"
BEST STEAK AND GYRO HOUSE,13620 EUCLID AVE,EAST CLEVELAND,44112,297400,601971.5,899371.5,366337000,"36,633.70"
THE STORE,7095 BROADVIEW RD,SEVEN HILLS,44131,538470,350736,889206,539914000,"30,486.39"
HIGHLAND FOOD MART,25989 HIGHLAND RD,RICHMOND HEIGHTS,44143,292300,592331.5,884631.5,204169000,"25,713.98"
AUDREY'S DELI,6347 STATE RD,PARMA,44134,457091,398074.5,855165.5,717883000,"36,664.10"
CONVENIENT FOOD MART #30115,22299 EUCLID AVE,EUCLID,44117,296440,554985,851425,233832000,"27,284.95"
EMERY FOOD MART,25850 EMERY RD,WARRENSVILLE HEIGHTS,44128,284850,550744.5,835594.5,429954000,"52,819.90"
SHELIGA DRUG INC,6025 ST CLAIR AVE,CLEVELAND,44103,254230,579315.5,833545.5,493685000,"166,785.47"
J & M FOOD MARKET,1976 WARRENSVILLE CENTER RD,SOUTH EUCLID,44121,240818,585757,826575,121854000,"45,638.20"
CONVENIENT FOOD MART,6610 SMITH RD,MIDDLEBURG HEIGHTS,44130,540050,278061.5,818111.5,1103429000,"97,218.41"
FOOD PLUS,3895 LEE RD,CLEVELAND,44128,186291,630210.5,816501.5,168802000,"36,379.74"
LOTTERY STOP,230 HURON RD SW STE 72076,CLEVELAND,44113,328200,474485,802685,1265546000,"69,650.30"
PLAZA SERVERY INC II,1240 E 9TH ST,CLEVELAND,44199,397700,350873.5,748573.5,246095000,"39,312.30"
LE MONDE SUNOCO SERV STATION,3569 LEE RD,CLEVELAND,44120,118740,629386,748126,944838000,"56,509.45"
